jg.note	rat.owner	rat.ds	rat.sub	rat.ses	rat.ID.orig	rat.session.date	rat.strain	rat.gender	rat.age	rat.weight	rat.vendor.source	rat.breeding.source	rat.comment	exp.type	anesthesia.induction	anesthesia.induction.dose	anesthesia.maintenance	anesthesia.maintenance.dose	anesthesia.post.induction.time	anesthesia.breathing.assistance	anesthesia.breathing.rate	anesthesia.heart.rate	anesthesia.temperature	anesthesia.pCO2	anesthesia.comment	MRI.vendor	MRI.console	MRI.field.strength	MRI.coil.setup	MRI.coil.design	MRI.comment	anat.sequence	anat.contrast	anat.TR	anat.TE	func.sequence	func.TR	func.TE	func.FA	func.resolution	func.n.slices	func.slice.thickness	func.slice.gap	func.volume	func.acceleration.factor	func.shim	func.shim.order	func.bandwidth	func.FOVsat	func.readout.dir	func.comment	func.sensory.system	func.sensory.stimulation	func.sensory.design	func.sebnsory.comment					
added 04082020	BheditaSeewoo	01002	100200	1	A2	08-Jun-16	Sprague Dawley	M	93	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T23	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100200	2	A2_repeat	23-Jun-16	Sprague Dawley	M	108	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T27	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100201	1	A3	08-Jun-16	Sprague Dawley	M	93	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T24	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100201	2	A3_repeat	23-Jun-16	Sprague Dawley	M	108	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T28	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100202	1	A4	21-Jun-16	Sprague Dawley	M	45	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T25	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100202	2	A4_repeat	05-Jul-16	Sprague Dawley	M	59	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T29	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100203	1	A5	21-Jun-16	Sprague Dawley	M	45	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T26	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100203	2	A5_repeat	05-Jul-16	Sprague Dawley	M	59	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T30	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100204	1	Cage 1 A2	30-Mar-19	Sprague Dawley	M	49	230	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	Not measured	36.5-38	Not measured	Isoflurane was delivered in 100% pure oxygen	Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T17	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100205	1	Cage 7 A1	30-Mar-19	Sprague Dawley	M	49	255	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T18	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100206	1	Cage 7 A2	06-Apr-19	Sprague Dawley	M	49	235	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T19	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100207	1	Cage 8 A2	06-Apr-19	Sprague Dawley	M	49	245	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T20	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100208	1	Cage 9 A1	06-Apr-19	Sprague Dawley	M	49	259	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T21	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01002	100209	1	Cage 9 A2	06-Apr-19	Sprague Dawley	M	49	252	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	50	Free-breathing	40-60 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T22	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100300	1	A1	11-Jan-18	Sprague Dawley	M	61	390	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured	medetomidine was started immediately after bolus was delivered. Isoflurane was delivered in medical air. Rs-fMRI data usually acquired 50min post induction but could be anywhere between 40-70min	Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100301	1	A2	11-Jan-18	Sprague Dawley	M	61	380	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane + medetomidine	0.25% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T3	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100302	1	A3	11-Jan-18	Sprague Dawley	M	61	360	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T4	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100303	1	A4	12-Jan-18	Sprague Dawley	M	62	363	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T5	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100304	1	A5	12-Jan-18	Sprague Dawley	M	62	368	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T6	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100305	1	A6	12-Jan-18	Sprague Dawley	M	62	401	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T7	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100306	1	Cage12_A1	6-Mar-20	Sprague Dawley	M	53	340	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T9	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100306	2	Cage12_A1_repeat	24-Mar-20	Sprague Dawley	M	71	411	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T13	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100307	1	Cage12_A2	6-Mar-20	Sprague Dawley	M	53	363	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T10	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100307	2	Cage12_A2_repeat	24-Mar-20	Sprague Dawley	M	71	467	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T14	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100308	1	Cage15_A1	12-Apr-19	Sprague Dawley	M	48	223	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T11	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100308	2	Cage15_A1_repeat	1-May-19	Sprague Dawley	M	67	338	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T15	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100309	1	Cage9_A2	6-Mar-20	Sprague Dawley	M	53	331	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T8	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04082020	BheditaSeewoo	01003	100309	2	Cage9_A2_repeat	23-Mar-20	Sprague Dawley	M	70	394	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state longitudinal	isoflurane	4	isoflurane + medetomidine	0.5% isoflurane, 0.05 mg/kg sc bolus medetomidine and 0.15 mg/kg/h sc medetomidine	50	Free-breathing	50-80 breaths/min	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4 T	T/R	T volume and rat brain surface R		turboRARE	T12	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000 Hz	yes	LR										
added 04092020	KHChuang	01004	100400	1	s_20121214_01		Wistar	male	10-15 wk	300-400		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-60		36.5±0.5			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.4	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092021	KHChuang	01004	100401	1	s_20121229_02		Wistar	male	10-15 wk	300-401		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-61		36.5±0.6			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.5	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092022	KHChuang	01004	100402	1	s_20130103_02		Wistar	male	10-15 wk	300-402		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-62		36.5±0.7			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.6	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092023	KHChuang	01004	100403	1	s_20130108_01		Wistar	male	10-15 wk	300-403		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-63		36.5±0.8			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.7	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092024	KHChuang	01004	100404	1	s_20130205_01		Wistar	male	10-15 wk	300-404		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-64		36.5±0.9			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.8	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092025	KHChuang	01004	100405	1	s_20130207_01		Wistar	male	10-15 wk	300-405		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-65		36.5±0.10			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.9	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092026	KHChuang	01004	100406	1	s_20130210_01		Wistar	male	10-15 wk	300-406		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-66		36.5±0.11			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.10	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092027	KHChuang	01004	100407	1	s_20130210_02		Wistar	male	10-15 wk	300-407		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-67		36.5±0.12			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.11	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092028	KHChuang	01004	100408	1	s_20130211_01		Wistar	male	10-15 wk	300-408		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-68		36.5±0.13			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.12	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092029	KHChuang	01004	100409	1	s_20130218_01		Wistar	male	10-15 wk	300-409		in-house		resting-state	iso	3%	iso	1.30%	1.5h		50-69		36.5±0.14			Varian		9.4T	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.13	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR										
added 04092029	NickTodd	01005	100500	1	1	7/6/2017	Sprague-Dawley	M	unknown	257 - 384 g	Charles River			resting state	ketamine / xylazine	80 / 10 (mg/kg)	isoflurane and medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	1 - 2 hours	free breathing	35 - 65 bpm	not measured	~34 - 37 C	not measured		Bruker	Paravision 5	7 T	T + R	Rx only single loop		RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65	0.5 x 0.5 x 1.0 mm	18	1.0 mm	0.2 mm	300	none	MAP Shim	unknown		no	L/R										
