Only for use in MultiRat. Name of user, or site acquiring data -Joanes Grandjean User/Site	Field strength, in Tesla -Joanes Grandjean Field	Bruker/Varian/MR solution/other -Joanes Grandjean Vendor	Coil	YYYY-MM-DD OR YYYY-MM-DDThh:mm -Joanes Grandjean Date	Comment	SubjID	SessID	Strain	Sex	Weight	Age	Comment	Induction_time	Bolus_time	Deviation	Shimming_protocol	Shimming_order	Linewidth	Anat_ScanID	Anat_Sequence	Anat_Contrast	Func_ScanID	Func_run	Func_time	Note any deviation from functional protocol (e.g. FOV), or imaging artifacts -Joanes Grandjean Func_deviation	Temperature	Breathing	Heart	Other	Comment
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-19		sub-300802	ses-1	Wistar	Male	330	2		14:38	14:57	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 14:47. Iso to 2% at 14:51. Iso 0.4% at 15:13. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	Fastmap (rectangular voxel)	1st	18.35		fsems	T2w	rat5005_1_4_05_MR1_rsfMRI.nii.gz	rat5005_1_4_05_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	41	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-22		sub-300803	ses-1	Wistar	Male	322.1	2		9:49	10:06	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 9:55. Iso to 2% at 10:01. Iso 0.4% at 10:31. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	GE3D	2nd	19.3		fsems	T2w	rat5005_1_4_06_MR1_rsfMRI.nii.gz	rat5005_1_4_06_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	41	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-22		sub-300804	ses-1	Wistar	Female	188.5	2		14:58	15:10	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 15:02. Iso to 2% at 15:06. Iso 0.4% at 10:31. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	GE3D	2nd	33.6		fsems	T2w	rat5005_1_4_07_MR1_rsfMRI.nii.gz	rat5005_1_4_07_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	40	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-22		sub-300805	ses-1	Wistar	Female	180.4	2		12:58	13:10	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 13:03. Iso to 2% at 13:05. Iso 0.4% at 13:26. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	GE3D	2nd	30.7		fsems	T2w	rat5005_1_4_08_MR1_rsfMRI.nii.gz	rat5005_1_4_08_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	41	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-23		sub-300806	ses-1	Wistar	Female	219	2		9:49	10:01	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 9:54. Iso to 2% at 9:58. Iso 0.4% at 10:19. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	GE3D	2nd	47		fsems	T2w	rat5005_1_4_09_MR1_rsfMRI.nii.gz	rat5005_1_4_09_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	41	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-23		sub-300807	ses-1	Wistar	Female	177.6	2		11:50	12:05	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 11:55. Iso to 2% at 11:59. Iso 0.4% at 12:23. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	GE3D	1st	46		fsems	T2w	rat5005_1_4_10_MR1_rsfMRI.nii.gz	rat5005_1_4_10_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	40	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-23		sub-300808	ses-1	Wistar	Female	189	2		14:00	14:13	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 14:06. Iso to 2% at 14:09. Iso 0.4% at 14:27. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	GE3D	2nd	19.58		fsems	T2w	rat5005_1_4_11_MR1_rsfMRI.nii.gz	rat5005_1_4_11_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	40	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-29		sub-300809	ses-1	Wistar	Female	203.3	2		12:56	13:10	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 13:02. Iso to 2% at 13:04. Iso 0.4% at 13:30. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	GE3D	2nd	23.7		fsems	T2w	rat5005_1_4_12_MR1_rsfMRI.nii.gz	rat5005_1_4_12_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	40	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
Bio-imaging Lab	9.4	Bruker	Rat surface array	11/09/2021	PV360	sub-300900	ses-1	Wistar	Male	310	4		15:49	15:52		Mapshim - automatic shim volume	Iterative 2nd order		E9	TurboRARE	T2	E10	EPI	16:32	0	36.8/37/37	60/75/67	267/266/262	90/91/90	PO recorded
Bio-imaging Lab	9.4	Bruker	Rat surface array	11/09/2021	PV360	sub-300901	ses-1	Wistar	Male	310	4		14:45	14:48		Mapshim - automatic shim volume	Iterative 2nd order		E8	TurboRARE	T2	E9	EPI	15:28	0	37/37.2/37.2	55/72/75	264/271/261	94/94/95	PO recorded
Bio-imaging Lab	9.4	Bruker	Rat surface array	11/09/2021	PV360	sub-300902	ses-1	Wistar	Female	221	4		12:37	12:43		Mapshim - automatic shim volume	Iterative 2nd order		E10	TurboRARE	T2	E11	EPI	13:23	0	37.2/37.2/37.2	53/59/64	252/249/246	96/95/95	PO recorded
Bio-imaging Lab	9.4	Bruker	Rat surface array	11/09/2021	PV360	sub-300903	ses-1	Wistar	Female	217	4		13:43	13:47		Mapshim - automatic shim volume	Iterative 2nd order		E10	TurboRARE	T2	E11	EPI	14:27	0	36.8/36.8/36.8	56/58/61	226/222/220	100/100/100	PO recorded
Bio-imaging Lab	9.4	Bruker	Rat surface array	11/03/2021	PV360	sub-300904	ses-1	Wistar	Male	321	4		11:39	11:45		Mapshim - automatic shim volume	Iterative 2nd order		E9	TurboRARE	T2	E8	EPI	12:25	0	36.8/36.8/37	65/90/81	250/253/264	98/97/98	PO recorded
