jg.note	rat.owner	exclude	exclude.reason	rat.ds	rat.sub	rat.ses	rat.ID.orig	rat.session.date	rat.strain	rat.strain.orig	rat.sex	rat.age	rat.age.orig	rat.weight	rat.weight.orig	rat.vendor.source	rat.breeding.source	rat.comment	exp.type	anesthesia.induction	anesthesia.induction.dose	anesthesia.maintenance	anesthesia.maintenance.dose	anesthesia.route	anesthesia.post.induction.time	anesthesia.post.induction.time.orig	anesthesia.breathing.assistance	anesthesia.breathing.rate	anesthesia.breathing.rate.orig	anesthesia.heart.rate	anesthesia.heart.rate.orig	anesthesia.temperature.org	anesthesia.pCO2.orig	anesthesia.comment	MRI.vendor	MRI.console.orig	MRI.field.strength	MRI.coil.setup.orig	MRI.coil.design.orig	MRI.comment	anat.sequence	anat.contrast	anat.TR	anat.TE	func.sequence	func.TR	func.TE	func.FA	func.resolution.orig	func.n.slices	func.slice.thickness	func.slice.gap	func.volume	func.acceleration.factor.orig	func.shim.orig	func.shim.order.orig	func.bandwidth	func.FOVsat	func.readout.dir	func.comment	func.sensory.system	func.sensory.stimulation	func.sensory.onset	func.sensory.duration	func.sensory.comment
added 04082020	BheditaSeewoo			01002	100200	1	A2	08-Jun-16	Sprague Dawley	Sprague Dawley	Male	2-4	93	NA	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	320	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100200	2	A2_repeat	23-Jun-16	Sprague Dawley	Sprague Dawley	Male	2-4	108	NA	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	320	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100201	1	A3	08-Jun-16	Sprague Dawley	Sprague Dawley	Male	2-4	93	NA	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	320	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100201	2	A3_repeat	23-Jun-16	Sprague Dawley	Sprague Dawley	Male	2-4	108	NA	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	320	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100202	1	A4	21-Jun-16	Sprague Dawley	Sprague Dawley	Male	0-2	45	NA	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	320	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100202	2	A4_repeat	05-Jul-16	Sprague Dawley	Sprague Dawley	Male	0-2	59	NA	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	320	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100203	1	A5	21-Jun-16	Sprague Dawley	Sprague Dawley	Male	0-2	45	NA	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	320	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100203	2	A5_repeat	05-Jul-16	Sprague Dawley	Sprague Dawley	Male	0-2	59	NA	NA	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	320	250-380 beats/min	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100204	1	Cage 1 A2	30-Mar-19	Sprague Dawley	Sprague Dawley	Male	0-2	49	200-250	230	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	NA	Not measured	36.5-38	Not measured	Isoflurane was delivered in 100% pure oxygen	Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100205	1	Cage 7 A1	30-Mar-19	Sprague Dawley	Sprague Dawley	Male	0-2	49	250-300	255	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100206	1	Cage 7 A2	06-Apr-19	Sprague Dawley	Sprague Dawley	Male	0-2	49	200-250	235	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100207	1	Cage 8 A2	06-Apr-19	Sprague Dawley	Sprague Dawley	Male	0-2	49	200-250	245	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100208	1	Cage 9 A1	06-Apr-19	Sprague Dawley	Sprague Dawley	Male	0-2	49	250-300	259	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01002	100209	1	Cage 9 A2	06-Apr-19	Sprague Dawley	Sprague Dawley	Male	0-2	49	250-300	252	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4	isoflurane	2	air	50	50	free-breathing	50	40-60 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100300	1	A1	11-Jan-18	Sprague Dawley	Sprague Dawley	Male	0-2	61	350-400	390	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane / medetomidine	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured	medetomidine was started immediately after bolus was delivered. Isoflurane was delivered in medical air. Rs-fMRI data usually acquired 50min post induction but could be anywhere between 40-70min	Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100301	1	A2	11-Jan-18	Sprague Dawley	Sprague Dawley	Male	0-2	61	350-400	380	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.25 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100302	1	A3	11-Jan-18	Sprague Dawley	Sprague Dawley	Male	0-2	61	350-400	360	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100303	1	A4	12-Jan-18	Sprague Dawley	Sprague Dawley	Male	0-2	62	350-400	363	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100304	1	A5	12-Jan-18	Sprague Dawley	Sprague Dawley	Male	0-2	62	350-400	368	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100305	1	A6	12-Jan-18	Sprague Dawley	Sprague Dawley	Male	0-2	62	400-450	401	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100306	1	Cage12_A1	6-Mar-20	Sprague Dawley	Sprague Dawley	Male	0-2	53	300-350	340	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100306	2	Cage12_A1_repeat	24-Mar-20	Sprague Dawley	Sprague Dawley	Male	2-4	71	400-450	411	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100307	1	Cage12_A2	6-Mar-20	Sprague Dawley	Sprague Dawley	Male	0-2	53	350-350	363	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100307	2	Cage12_A2_repeat	24-Mar-20	Sprague Dawley	Sprague Dawley	Male	2-4	71	450-500	467	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100308	1	Cage15_A1	12-Apr-19	Sprague Dawley	Sprague Dawley	Male	0-2	48	200-250	223	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100308	2	Cage15_A1_repeat	1-May-19	Sprague Dawley	Sprague Dawley	Male	2-4	67	300-350	338	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100309	1	Cage9_A2	6-Mar-20	Sprague Dawley	Sprague Dawley	Male	0-2	53	300-350	331	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04082020	BheditaSeewoo			01003	100309	2	Cage9_A2_repeat	23-Mar-20	Sprague Dawley	Sprague Dawley	Male	2-4	70	350-400	394	Animal Resources Centre (Canning Vale, Western Australia)	Breeding subsidiary		resting-state	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	sc	50	50	free-breathing	70	50-80 breaths/min	NA	Not measured	36.5-38	Not measured		Bruker	AVANCEIII	9.4	T/R	T volume and rat brain surface R		turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90	0.3 mm x 0.3 mm	21	1	0.05	300	NA	mapshim	"AllShims"	300000	yes	LR						
added 04092020	KHChuang			01004	100400	1	s_20121214_01		Wistar	Wistar	Male	2-4	10-15 wk	300-350	300-400		in-house		resting-state	isoflurane	3	isoflurane	1.3	air	90	1.5h	free-breathing	60	50-60	NA		36.5±0.5			Varian/Agilent		9.4	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.4	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR						
added 04092021	KHChuang			01004	100401	1	s_20121229_02		Wistar	Wistar	Male	2-4	10-15 wk	300-350	300-400		in-house		resting-state	isoflurane	3	isoflurane	1.3	air	90	1.5h	free-breathing	60	50-61	NA		36.5±0.6			Varian/Agilent		9.4	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.5	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR						
added 04092022	KHChuang			01004	100402	1	s_20130103_02		Wistar	Wistar	Male	2-4	10-15 wk	300-350	300-400		in-house		resting-state	isoflurane	3	isoflurane	1.3	air	90	1.5h	free-breathing	60	50-62	NA		36.5±0.7			Varian/Agilent		9.4	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.6	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR						
added 04092023	KHChuang			01004	100403	1	s_20130108_01		Wistar	Wistar	Male	2-4	10-15 wk	300-350	300-400		in-house		resting-state	isoflurane	3	isoflurane	1.3	air	90	1.5h	free-breathing	60	50-63	NA		36.5±0.8			Varian/Agilent		9.4	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.7	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR						
added 04092024	KHChuang			01004	100404	1	s_20130205_01		Wistar	Wistar	Male	2-4	10-15 wk	300-350	300-400		in-house		resting-state	isoflurane	3	isoflurane	1.3	air	90	1.5h	free-breathing	60	50-64	NA		36.5±0.9			Varian/Agilent		9.4	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.8	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR						
added 04092025	KHChuang			01004	100405	1	s_20130207_01		Wistar	Wistar	Male	2-4	10-15 wk	300-350	300-400		in-house		resting-state	isoflurane	3	isoflurane	1.3	air	90	1.5h	free-breathing	60	50-65	NA		36.5±0.10			Varian/Agilent		9.4	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.9	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR						
added 04092026	KHChuang			01004	100406	1	s_20130210_01		Wistar	Wistar	Male	2-4	10-15 wk	300-350	300-400		in-house		resting-state	isoflurane	3	isoflurane	1.3	air	90	1.5h	free-breathing	60	50-66	NA		36.5±0.11			Varian/Agilent		9.4	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.10	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR						
added 04092027	KHChuang			01004	100407	1	s_20130210_02		Wistar	Wistar	Male	2-4	10-15 wk	300-350	300-400		in-house		resting-state	isoflurane	3	isoflurane	1.3	air	90	1.5h	free-breathing	60	50-67	NA		36.5±0.12			Varian/Agilent		9.4	T+R	RT-single loop		FSE		2.5	0.04	SE-EPI	2	0.045	90	0.4x0.11	12	1	0.1	300	0	3Dshim	2nd	250000	yes	LR						
